Rank ,Major ,Degree Type ,Early Career Pay ,Mid-Career Pay  ,
135,Environmental Science,Bachelor's,"$43,300 ","$77,000 ",
136,Business Communication,Bachelor's,"$44,400 ","$76,600 ",
137,Logistics,Bachelor's,"$51,500 ","$76,500 ",
138,Technology Management,Bachelor's,"$52,500 ","$76,400 ",
139,History & Political Science,Bachelor's,"$44,500 ","$76,000 ",
140,Finance & Banking,Bachelor's,"$48,600 ","$75,900 ",
141,Technical Management,Bachelor's,"$46,300 ","$75,700 ",
142 (tie),Dental Hygiene,Bachelor's,"$65,400 ","$74,900 ",
142 (tie),Industrial Psychology,Bachelor's,"$44,000 ","$74,900 ",
144 (tie),Aeronautics,Bachelor's,"$53,900 ","$74,600 ",
144 (tie),Entrepreneurship,Bachelor's,"$48,000 ","$74,600 ",
146,Agronomy,Bachelor's,"$45,600 ","$74,400 ",
147,English Literature,Bachelor's,"$41,100 ","$74,300 ",
148 (tie),Digital Media,Bachelor's,"$40,800 ","$74,200 ",
148 (tie),Environmental Studies,Bachelor's,"$41,500 ","$74,200 ",
148 (tie),Foreign Languages,Bachelor's,"$42,500 ","$74,200 ",
148 (tie),Information Systems Security,Bachelor's,"$57,100 ","$74,200 ",
152,Nursing,Bachelor's,"$57,500 ","$74,100 ",
153,Landscape Architecture,Bachelor's,"$44,400 ","$74,000 ",
154,General Business,Bachelor's,"$45,000 ","$73,900 ",
155,History,Bachelor's,"$42,200 ","$73,600 ",
156 (tie),Film Production,Bachelor's,"$41,400 ","$73,500 ",
156 (tie),Literature,Bachelor's,"$40,400 ","$73,500 ",
158,Biology,Bachelor's,"$40,800 ","$73,100 ",
159,Management,Bachelor's,"$45,000 ","$73,000 ",
160,Computer Aided Drafting & Design (CADD),Bachelor's,"$43,300 ","$72,800 ",
161,Design,Bachelor's,"$42,400 ","$72,700 ",
162,General Science,Bachelor's,"$41,600 ","$72,600 ",
163,Business Management & Human Resources Management (HRM),Bachelor's,"$42,100 ","$72,500 ",
164 (tie),American Studies,Bachelor's,"$45,100 ","$72,400 ",
164 (tie),Business Administration,Bachelor's,"$46,100 ","$72,400 ",
164 (tie),Professional & Technical Writing,Bachelor's,"$42,700 ","$72,400 ",
167 (tie),Business Management,Bachelor's,"$45,800 ","$72,300 ",
167 (tie),Communication,Bachelor's,"$42,100 ","$72,300 ",
167 (tie),Theatre & Drama Studies,Bachelor's,"$40,400 ","$72,300 ",
167 (tie),Urban Studies,Bachelor's,"$44,500 ","$72,300 ",
171 (tie),Communication Studies & Journalism,Bachelor's,"$39,800 ","$72,100 ",
171 (tie),Interior Architecture,Bachelor's,"$43,200 ","$72,100 ",
173,Computer Networking Systems,Bachelor's,"$46,900 ","$71,900 ",
174 (tie),German Language & Literature,Bachelor's,"$44,400 ","$71,700 ",
174 (tie),International Studies,Bachelor's,"$43,300 ","$71,700 ",
176,Pre-law,Bachelor's,"$42,300 ","$71,300 ",
177,Public Relations & Communication,Bachelor's,"$39,800 ","$71,200 ",
178,Diagnostic Medical Sonography,Bachelor's,"$57,700 ","$71,100 ",
179 (tie),French Language,Bachelor's,"$43,900 ","$71,000 ",
179 (tie),Journalism & Mass Communication,Bachelor's,"$41,100 ","$71,000 ",
181,Accounting & Management,Bachelor's,"$48,700 ","$70,800 ",
182,Public Relations (PR),Bachelor's,"$40,100 ","$70,700 ",
183,Speech Communication,Bachelor's,"$42,000 ","$70,600 ",
184,Accounting & Business,Bachelor's,"$45,200 ","$70,500 ",
185,Environmental Biology,Bachelor's,"$40,900 ","$70,400 ",
186,Film Studies,Bachelor's,"$39,800 ","$70,000 ",
187,American History (United States),Bachelor's,"$42,000 ","$69,600 ",
188,Journalism,Bachelor's,"$41,200 ","$69,400 ",
189,Environmental Management,Bachelor's,"$47,400 ","$69,300 ",
190,Marketing & Mass Communications,Bachelor's,"$40,600 ","$69,000 ",
191 (tie),Broadcast Communication,Bachelor's,"$35,600 ","$68,700 ",
191 (tie),Geographic Information Systems (GIS),Bachelor's,"$44,900 ","$68,700 ",
191 (tie),Natural Resource Management,Bachelor's,"$39,500 ","$68,700 ",
194 (tie),English Language & Literature,Bachelor's,"$40,400 ","$68,200 ",
194 (tie),Geography,Bachelor's,"$43,800 ","$68,200 ",
196,Human Resources Management (HRM),Bachelor's,"$42,300 ","$68,100 ",
197,Nuclear Medicine Technology,Bachelor's,"$55,200 ","$67,900 ",
198,Linguistics,Bachelor's,"$44,500 ","$67,800 ",
199,Technical Theatre,Bachelor's,"$35,100 ","$67,700 ",
200,Agriculture,Bachelor's,"$40,800 ","$67,600 ",
201,Business Administration & Accounting,Bachelor's,"$44,900 ","$67,500 ",
202,Forestry,Bachelor's,"$41,500 ","$67,400 ",
203,Zoology,Bachelor's,"$35,600 ","$67,300 ",
204,Advertising & Graphic Design,Bachelor's,"$42,400 ","$67,100 ",
205,Writing,Bachelor's,"$38,000 ","$67,000 ",
206,Computer & Network Administration,Bachelor's,"$50,800 ","$66,900 ",
207,Business Management & Administration,Bachelor's,"$46,100 ","$66,700 ",
208,International Affairs,Bachelor's,"$44,200 ","$66,600 ",
209,Multimedia & Web Design,Bachelor's,"$42,300 ","$66,500 ",
210 (tie),"Film, Video & Media Studies",Bachelor's,"$39,600 ","$66,300 ",
210 (tie),Human Resources (HR),Bachelor's,"$41,900 ","$66,300 ",
210 (tie),Mass Communication,Bachelor's,"$40,200 ","$66,300 ",
210 (tie),Organizational Management,Bachelor's,"$44,000 ","$66,300 ",
214,Radio/Television & Film Production,Bachelor's,"$40,700 ","$66,200 ",
215,Public Administration,Bachelor's,"$40,900 ","$66,100 ",
216,Radiologic Technology,Bachelor's,"$45,100 ","$66,000 ",
217,Creative Writing,Bachelor's,"$38,900 ","$65,900 ",
218,Media Communication,Bachelor's,"$39,400 ","$65,500 ",
219 (tie),Leadership,Bachelor's,"$47,100 ","$65,300 ",
219 (tie),Organizational Leadership,Bachelor's,"$43,900 ","$65,300 ",
221,Sports Management,Bachelor's,"$39,100 ","$65,200 ",
222 (tie),Cultural Anthropology,Bachelor's,"$41,000 ","$65,000 ",
222 (tie),Music Performance,Bachelor's,"$39,900 ","$65,000 ",
222 (tie),Organizational Communication,Bachelor's,"$41,400 ","$65,000 ",
225,Radio & Television,Bachelor's,"$38,000 ","$64,300 ",
226,Broadcast Journalism,Bachelor's,"$38,400 ","$64,200 ",
227,Medical Laboratory Technology,Bachelor's,"$48,500 ","$64,000 ",
228,Criminal Justice Administration,Bachelor's,"$39,000 ","$63,900 ",
229 (tie),Health Information Management,Bachelor's,"$41,700 ","$63,800 ",
229 (tie),Visual Arts (VA),Bachelor's,"$39,600 ","$63,800 ",
231,Secondary English Teacher Education,Bachelor's,"$37,800 ","$63,700 ",
232 (tie),Criminology,Bachelor's,"$39,500 ","$63,600 ",
232 (tie),Spanish Language,Bachelor's,"$40,300 ","$63,600 ",
234,Art History,Bachelor's,"$40,800 ","$63,300 ",
235,Fashion Merchandising,Bachelor's,"$41,200 ","$63,000 ",
236,Respiratory Therapy,Bachelor's,"$46,200 ","$62,900 ",
237 (tie),Hotel & Restaurant Management,Bachelor's,"$41,000 ","$62,800 ",
237 (tie),Illustration,Bachelor's,"$39,000 ","$62,800 ",
239 (tie),Clinical Laboratory Science,Bachelor's,"$48,800 ","$62,700 ",
239 (tie),"Hotel, Restaurant, and Institutional Management (HRIM)",Bachelor's,"$50,500 ","$62,700 ",
241 (tie),Art & Design,Bachelor's,"$39,500 ","$62,600 ",
241 (tie),Health Sciences,Bachelor's,"$38,300 ","$62,600 ",
243 (tie),Business & Healthcare Management,Bachelor's,"$40,000 ","$62,500 ",
243 (tie),Fine Arts,Bachelor's,"$38,400 ","$62,500 ",
243 (tie),Visual Communication Design,Bachelor's,"$40,700 ","$62,500 ",
246,Visual Communications,Bachelor's,"$40,500 ","$62,400 ",
247 (tie),Liberal Arts,Bachelor's,"$39,100 ","$62,300 ",
247 (tie),Sociology,Bachelor's,"$40,400 ","$62,300 ",
249,Hospitality & Tourism,Bachelor's,"$37,900 ","$62,200 ",
250 (tie),Communication Design,Bachelor's,"$45,300 ","$62,100 ",
250 (tie),Psychology,Bachelor's,"$38,300 ","$62,100 ",
252,Kinesiology,Bachelor's,"$37,800 ","$61,800 ",
253,Nutrition,Bachelor's,"$40,700 ","$61,600 ",
254,Medical Laboratory Science,Bachelor's,"$47,900 ","$61,500 ",
255,Secondary Education,Bachelor's,"$40,200 ","$61,400 ",
256,Interior Design,Bachelor's,"$39,600 ","$61,000 ",
257,Health,Bachelor's,"$35,700 ","$60,700 ",
